neighborhood_id,name,postal_code,green_cover_pct,building_pct,population_density_km2,avg_building_height_m,temp_anomaly_c,area_km2,green_area_km2,built_area_km2,green_equity_index,predicted_temp_anomaly_c
N000,R/S Ward,N000,71.79,6.38,23220.0,12.8,-0.4,20.634228593746194,14.813312707450393,1.3164637842810072,11.252,-1.06
N001,P/S Ward,N001,57.81,18.44,20602.0,9.5,-1.26,28.370967027773922,16.401256038756106,5.231606319921512,3.135,-1.2
N002,H/E Ward,N002,25.79,46.29,35787.0,13.8,0.55,13.970914579894202,3.6030988701547146,6.4671363590330255,0.557,0.72
N003,K/E Ward,N003,38.51,36.92,29923.0,14.2,0.68,26.971940112222743,10.386894137216977,9.958040289432637,1.043,0.3
N004,L Ward,N004,19.0,58.59,35010.0,16.1,1.24,17.644569417796365,3.3524681893813097,10.337953221886892,0.324,0.97
N005,G/N Ward,N005,17.15,58.96,34766.0,14.7,-0.15,9.773123684842757,1.6760907119505328,5.7622337245832895,0.291,0.37
N006,H/W Ward,N006,18.49,58.5,29930.0,16.2,0.26,10.114238311985636,1.870122663886144,5.916829412511597,0.316,0.45
N007,K/W Ward,N007,28.47,46.63,25555.0,15.2,-1.04,27.087716798954876,7.711872972662453,12.631002343352659,0.611,-0.55
N008,P/N Ward,N008,51.77,20.15,14251.0,6.2,-0.9,52.40316706014707,27.12911958703814,10.559238162619634,2.569,-1.16
N009,R/C Ward,N009,64.41,10.9,10872.0,5.2,-0.87,55.53789154714388,35.77195594551537,6.0536301786386835,5.909,-1.16
N010,T Ward,N010,33.69,39.27,12617.0,4.1,-1.2,49.12914300620534,16.551608278790578,19.293014458536838,0.858,-1.22
N011,S Ward,N011,30.23,50.91,21403.0,8.5,0.98,38.07329170866906,11.509556083530658,19.383112808883418,0.594,-1.22
N012,N Ward,N012,47.97,11.63,20465.0,6.2,-1.16,34.98246405388186,16.781088006647128,4.0684605694664615,4.125,-1.16
N013,M/W Ward,N013,43.39,31.84,32690.0,12.6,-0.64,19.017635560556627,8.25175206972552,6.05521516248123,1.363,-0.36
N014,R/N Ward,N014,32.77,48.53,22791.0,10.3,-1.65,15.661799258614721,5.132371617048044,7.600671180205725,0.675,-1.42
N015,G/S Ward,N015,15.85,55.92,29432.0,19.0,0.62,10.327243446204378,1.6368680862233937,5.7749945351174885,0.283,0.54
N016,M/E Ward,N016,59.96,11.81,18978.0,5.2,-0.31,45.25555685369408,27.135231889474973,5.344681264421271,5.077,-1.17
N017,E Ward,N017,14.39,65.11,28928.0,19.1,1.01,8.32010174957822,1.1972626417643057,5.417218249150378,0.221,0.87
N018,D Ward,N018,19.93,54.07,29069.0,20.1,0.57,9.13876121727575,1.821355110603057,4.941328190180998,0.369,0.64
N019,F/S Ward,N019,19.73,64.84,33111.0,15.5,-0.54,11.130842636067545,2.1961152520961265,7.217238365226197,0.304,-0.12
N020,F/N Ward,N020,43.34,26.69,26648.0,11.7,-0.1,14.451631436620746,6.263337064631432,3.8571404304340775,1.624,-0.43
N021,B Ward,N021,17.37,56.16,35067.0,13.3,1.89,2.9902163658041836,0.5194005827401867,1.6793055110356294,0.309,1.36
N022,C Ward,N022,15.12,63.75,33907.0,14.1,1.96,2.1780400683447225,0.329319658333722,1.3885005435697608,0.237,1.21
N023,A Ward,N023,23.44,53.21,29415.0,14.5,0.44,11.226704790801472,2.631539602963865,5.973729619185463,0.441,0.44
